country_text_id,COWcode
MEX,70
SUR,115
SWE,380
CHE,225
GHA,452
ZAF,560
JPN,740
MMR,775
RUS,365
ALB,339
EGY,651
YEM,678
COL,100
POL,290
BRA,140
USA,2
PRT,235
SLV,92
YMD,680
BGD,771
BOL,145
HTI,41
HND,91
MLI,432
PAK,770
PER,135
SEN,433
SSD,626
SDN,625
VNM,816
VDR,817
AFG,700
ARG,160
ETH,530
IND,750
KEN,501
PRK,731
KOR,730
XKX,347
LBN,660
NGA,475
PHL,840
TZA,510
TWN,713
THA,800
UGA,500
VEN,101
BEN,434
BTN,760
BFA,439
KHM,811
IDN,850
MOZ,541
NPL,790
NIC,93
NER,436
ZMB,551
ZWE,552
GIN,438
CIV,437
MRT,435
CAN,20
AUS,900
BWA,571
BDI,516
CPV,402
CAF,482
CHL,155
CRI,94
TLS,860
ECU,130
FRA,220
DEU,255
GTM,90
IRN,630
IRQ,645
IRL,205
ITA,325
JOR,663
LVA,367
LSO,570
LBR,450
MWI,553
MDV,781
MNG,712
MAR,600
NLD,210
PAN,95
PNG,910
QAT,694
SLE,451
ESP,230
SYR,652
TUN,616
TUR,640
UKR,369
GBR,200
URY,165
DZA,615
AGO,540
ARM,371
AZE,373
BLR,370
CMR,471
TCD,483
CHN,710
COD,490
COG,484
DJI,522
DOM,42
ERI,531
GAB,481
GMB,420
GEO,372
GNB,404
JAM,51
KAZ,705
KGZ,703
LAO,812
LBY,620
MDG,580
MDA,359
NAM,565
RWA,517
SOM,520
LKA,780
SWZ,572
TJK,702
TGO,461
TTO,52
TKM,701
DDR,265
UZB,704
AUT,300
BHR,692
BRB,53
BEL,211
BIH,346
BGR,355
COM,581
HRV,344
CUB,40
CYP,352
CZE,315
DNK,390
GNQ,411
EST,366
FJI,950
FIN,375
GRC,350
GUY,110
ISL,395
ISR,666
KWT,690
LTU,368
LUX,212
MKD,343
MYS,820
MLT,338
MUS,590
MNE,341
NZL,920
NOR,385
OMN,698
PRY,150
ROU,360
STP,403
SAU,670
SRB,345
SYC,591
SGP,830
SVK,317
SVN,349
SLB,940
VUT,935
ARE,696
HUN,310
ZZB,511
BDN,267
BVR,245
MDN,332
PRM,335
SXN,269
TSC,337
WRG,271
TWS,329
HVR,240
HKS,273
HDM,275
MCL,280
PPS,327
